symbol,synonyms,gene_locus,gene_id,transcript_id,conservation,conservation_ortholog,conservation_species,biological_context,context_detail,tissue/cell line,genome_variation,variation_detail,epigenetic_modification,modification_detail,expression,expression_detail,regulator_type,regulator,regulator_interaction,regulator_effect,target_type,target,target_interaction,target_effect,experimental_method,molecular_function,biological_process,pathway,functional_mechanism,clinical_detail,drug,description,pmid
NORAD,LINC00657,20q11.23,HSALNG0129818,"HSALNT0266721,HSALNT0289380,HSALNT0400799,HSALNT0400800,HSALNT0400801,HSALNT0400802,HSALNT0400803,HSALNT0400804,HSALNT0400805",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg08587504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PARD6G-AS1,,18q23,HSALNG0122821,"HSALNT0253897,HSALNT0253901,HSALNT0253902,HSALNT0253903,HSALNT0253906,HSALNT0253907,HSALNT0253908,HSALNT0253909,HSALNT0395453,HSALNT0395454,HSALNT0395455,HSALNT0395456,HSALNT0395457,HSALNT0395458,HSALNT0395459,HSALNT0395460",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg19774868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PAX8-AS1,,2q14.1,HSALNG0018036,"HSALNT0038036,HSALNT0038037,HSALNT0038039,HSALNT0038044,HSALNT0038056,HSALNT0038057,HSALNT0038058,HSALNT0038059,HSALNT0038060,HSALNT0038061,HSALNT0038062,HSALNT0038064,HSALNT0038065,HSALNT0038067,HSALNT0038070,HSALNT0038074,HSALNT0038075,HSALNT0038076,HSALNT0038077,HSALNT0289202,HSALNT0305166,HSALNT0305167,HSALNT0305168,HSALNT0305169,HSALNT0305170,HSALNT0305171,HSALNT0305172,HSALNT0305173,HSALNT0305174,HSALNT0305175,HSALNT0305176,HSALNT0305177,HSALNT0305178,HSALNT0305179,HSALNT0305180,HSALNT0305181,HSALNT0305182,HSALNT0305183,HSALNT0305184,HSALNT0305185,HSALNT0305186,HSALNT0305187,HSALNT0305188,HSALNT0305189,HSALNT0305190,HSALNT0305191,HSALNT0305192,HSALNT0305193,HSALNT0305194,HSALNT0305195,HSALNT0305196,HSALNT0305197,HSALNT0305198",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg25758828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PCAT7,PCAN-R2,9q22.32,HSALNG0072923,"HSALNT0152401,HSALNT0152402,HSALNT0152403,HSALNT0152404,HSALNT0152405,HSALNT0152406,HSALNT0152407,HSALNT0152408,HSALNT0152409,HSALNT0152410,HSALNT0152411,HSALNT0152412,HSALNT0152413,HSALNT0152414,HSALNT0152415,HSALNT0152416,HSALNT0152418,HSALNT0152419,HSALNT0152421,HSALNT0152422,HSALNT0152423,HSALNT0152424,HSALNT0152425,HSALNT0152426,HSALNT0152427,HSALNT0152428,HSALNT0152429,HSALNT0152431,HSALNT0289210,HSALNT0353775,HSALNT0353776,HSALNT0353777,HSALNT0353778,HSALNT0353779,HSALNT0353780,HSALNT0353781,HSALNT0353782,HSALNT0353783,HSALNT0353784,HSALNT0353785,HSALNT0353786,HSALNT0353787",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg14113203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PICSAR,PRED74;NLC1-C;C21orf113;NCRNA00162;LINC00162,21q22.3,HSALNG0133591,"HSALNT0274573,HSALNT0274574,HSALNT0274575,HSALNT0404603,HSALNT0404604",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07900444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PIK3CD-AS1,C1orf200,1p36.22,HSALNG0142109,HSALNT0290212,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22595920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PRR34,FLJ10945;C22orf26,22q13.31,HSALNG0147427,HSALNT0406465,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg24349631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PSMB8-AS1,XXbac-BPG246D15.8;TAP1-AS1;TAPSAR1,6p21.32,HSALNG0049455,"HSALNT0104961,HSALNT0104962,HSALNT0104963,HSALNT0104970,HSALNT0104982,HSALNT0104989,HSALNT0333769,HSALNT0333770,HSALNT0333771,HSALNT0333772,HSALNT0333773,HSALNT0333774,HSALNT0333775,HSALNT0333776",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg00533183;cg11453837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PSORS1C3,NCRNA00196,6p21.33,HSALNG0049245,"HSALNT0104240,HSALNT0104244,HSALNT0104246,HSALNT0104248,HSALNT0104249,HSALNT0104250,HSALNT0104251,HSALNT0104252,HSALNT0104253,HSALNT0104254,HSALNT0104255,HSALNT0104256,HSALNT0104308,HSALNT0104325,HSALNT0104326,HSALNT0104327,HSALNT0104328,HSALNT0104329,HSALNT0104330,HSALNT0104332,HSALNT0104333,HSALNT0104334,HSALNT0104336,HSALNT0104337,HSALNT0104340,HSALNT0289390,HSALNT0333684,HSALNT0333685,HSALNT0333686,HSALNT0333689,HSALNT0333693,HSALNT0333695,HSALNT0333696,HSALNT0333697",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05631194;cg00184953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
PVT1,NCRNA00079;LINC00079;onco-lncRNA-100;MIR1204HG,8q24.21,HSALNG0068477,"HSALNT0143703,HSALNT0143704,HSALNT0143705,HSALNT0143718,HSALNT0143719,HSALNT0143720,HSALNT0143723,HSALNT0143732,HSALNT0143737,HSALNT0143738,HSALNT0143739,HSALNT0143740,HSALNT0143741,HSALNT0143742,HSALNT0143743,HSALNT0143746,HSALNT0143748,HSALNT0143749,HSALNT0143756,HSALNT0143757,HSALNT0143758,HSALNT0143759,HSALNT0143760,HSALNT0143761,HSALNT0143762,HSALNT0143763,HSALNT0143764,HSALNT0143765,HSALNT0143766,HSALNT0143772,HSALNT0143773,HSALNT0143778,HSALNT0143782,HSALNT0143783,HSALNT0289225,HSALNT0349930,HSALNT0349931,HSALNT0349932,HSALNT0349933,HSALNT0349934,HSALNT0349935,HSALNT0349936,HSALNT0349937,HSALNT0349938,HSALNT0349939,HSALNT0349940,HSALNT0349941,HSALNT0349942,HSALNT0349943,HSALNT0349944,HSALNT0349945,HSALNT0349946,HSALNT0349947,HSALNT0349948,HSALNT0349949,HSALNT0349950,HSALNT0349951,HSALNT0349952,HSALNT0349953,HSALNT0349954,HSALNT0349955,HSALNT0349956,HSALNT0349957,HSALNT0349958,HSALNT0349959,HSALNT0349960,HSALNT0349961,HSALNT0349962,HSALNT0349963,HSALNT0349964,HSALNT0349965,HSALNT0349966,HSALNT0349967,HSALNT0349968,HSALNT0349969,HSALNT0349970,HSALNT0349971,HSALNT0349972,HSALNT0349973,HSALNT0349974,HSALNT0349975,HSALNT0349976,HSALNT0349977,HSALNT0349978,HSALNT0349979,HSALNT0349980,HSALNT0349981,HSALNT0349982,HSALNT0349983,HSALNT0349984,HSALNT0349985,HSALNT0349986,HSALNT0349987,HSALNT0349988,HSALNT0349989,HSALNT0349990,HSALNT0349991,HSALNT0349992,HSALNT0349993,HSALNT0349994,HSALNT0349995,HSALNT0349996,HSALNT0349997,HSALNT0349998,HSALNT0349999,HSALNT0350000,HSALNT0350001,HSALNT0350002,HSALNT0350003,HSALNT0350004,HSALNT0350005,HSALNT0350006,HSALNT0350007,HSALNT0350008,HSALNT0350009,HSALNT0350010,HSALNT0350011,HSALNT0350012,HSALNT0350013,HSALNT0350014,HSALNT0350015,HSALNT0350016,HSALNT0350017,HSALNT0350018,HSALNT0350019,HSALNT0350020,HSALNT0350021,HSALNT0350022,HSALNT0350023,HSALNT0350024,HSALNT0350025,HSALNT0350026,HSALNT0350027,HSALNT0350028,HSALNT0350029,HSALNT0350030,HSALNT0350031,HSALNT0350032,HSALNT0350033,HSALNT0350034,HSALNT0350035,HSALNT0350036,HSALNT0350037,HSALNT0350038,HSALNT0350039,HSALNT0350040,HSALNT0350041,HSALNT0350042,HSALNT0350043,HSALNT0350044,HSALNT0350045,HSALNT0350046,HSALNT0350047,HSALNT0350048,HSALNT0350049,HSALNT0350050,HSALNT0350051,HSALNT0350052,HSALNT0350053,HSALNT0350054,HSALNT0350055,HSALNT0350056,HSALNT0350057,HSALNT0350058,HSALNT0350059,HSALNT0350060,HSALNT0350061,HSALNT0350062,HSALNT0350063,HSALNT0350064,HSALNT0350065,HSALNT0350066,HSALNT0350067,HSALNT0350068,HSALNT0350069,HSALNT0350070,HSALNT0350071,HSALNT0350072,HSALNT0350073,HSALNT0350074,HSALNT0350075,HSALNT0350076,HSALNT0350077,HSALNT0350078,HSALNT0350079,HSALNT0350080,HSALNT0350081,HSALNT0350082,HSALNT0350083,HSALNT0350084,HSALNT0350085,HSALNT0350086,HSALNT0350087,HSALNT0350088,HSALNT0350089,HSALNT0350090,HSALNT0350091,HSALNT0350092,HSALNT0350093,HSALNT0350094,HSALNT0350095,HSALNT0350096,HSALNT0350097,HSALNT0350098,HSALNT0350099,HSALNT0350100,HSALNT0350101,HSALNT0350102,HSALNT0350103,HSALNT0350104,HSALNT0350105,HSALNT0350106,HSALNT0350107,HSALNT0350108,HSALNT0350109,HSALNT0350110,HSALNT0350111,HSALNT0350112,HSALNT0350113,HSALNT0350114,HSALNT0350115,HSALNT0350116,HSALNT0350118,HSALNT0350122,HSALNT0350123",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg25247520;cg25922329;cg05076730;cg03481855;cg16231917;cg22283754;cg11201447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
RPS6KB2-AS1,AP003419.16,11q13.2,HSALNG0143206,HSALNT0363444,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23456595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SLC25A34-AS1,RP11-169K16.4,1p36.21,HSALNG0001107,"HSALNT0002132,HSALNT0002133,HSALNT0290424",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg13454846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SLFNL1-AS1,,1p34.2,HSALNG0002928,"HSALNT0005579,HSALNT0291683",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg13367406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SMIM2-AS1,C13orf44-AS1,13q14.11,HSALNG0096734,"HSALNT0200841,HSALNT0200842,HSALNT0200843,HSALNT0200844,HSALNT0200845,HSALNT0200846,HSALNT0200847,HSALNT0200848,HSALNT0200851,HSALNT0200853,HSALNT0200854,HSALNT0200856,HSALNT0200858,HSALNT0200859,HSALNT0200860,HSALNT0200861,HSALNT0200862,HSALNT0200868,HSALNT0200869,HSALNT0200871,HSALNT0200872,HSALNT0200875,HSALNT0200877,HSALNT0200879,HSALNT0200880,HSALNT0200881,HSALNT0200885,HSALNT0200888,HSALNT0200889,HSALNT0200898,HSALNT0200899,HSALNT0200900,HSALNT0200903,HSALNT0372971,HSALNT0372972,HSALNT0372973,HSALNT0372974,HSALNT0372975,HSALNT0372976,HSALNT0372977,HSALNT0372978,HSALNT0372979,HSALNT0372980,HSALNT0372981,HSALNT0372982,HSALNT0372983,HSALNT0372984,HSALNT0372985,HSALNT0372986,HSALNT0372987",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg19190762;cg14643399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG1,UHG;NCRNA00057;LINC00057;lncRNA16,11q12.3,HSALNG0084672,"HSALNT0176321,HSALNT0176322,HSALNT0176323,HSALNT0176324,HSALNT0176326,HSALNT0176328,HSALNT0176338,HSALNT0176341,HSALNT0176342,HSALNT0176343,HSALNT0176344,HSALNT0176345,HSALNT0176349,HSALNT0176350,HSALNT0176351,HSALNT0176352,HSALNT0176353,HSALNT0176355,HSALNT0176356,HSALNT0176357,HSALNT0176358,HSALNT0176360,HSALNT0176364,HSALNT0176365,HSALNT0176373,HSALNT0176376,HSALNT0176381,HSALNT0176391,HSALNT0176401,HSALNT0363079,HSALNT0363080,HSALNT0363081,HSALNT0363082,HSALNT0363083,HSALNT0363084,HSALNT0363085,HSALNT0363086,HSALNT0363087,HSALNT0363088,HSALNT0363089,HSALNT0363090,HSALNT0363091,HSALNT0363092,HSALNT0363093,HSALNT0363094,HSALNT0363095,HSALNT0363096,HSALNT0363097,HSALNT0363098,HSALNT0363099,HSALNT0363100,HSALNT0363101,HSALNT0363102,HSALNT0363103,HSALNT0363104,HSALNT0363105,HSALNT0363106,HSALNT0363107,HSALNT0363108,HSALNT0363109,HSALNT0363110,HSALNT0363111,HSALNT0363112,HSALNT0363113,HSALNT0363114,HSALNT0363115,HSALNT0363116,HSALNT0363117,HSALNT0363118,HSALNT0363119,HSALNT0363120,HSALNT0363121,HSALNT0363122,HSALNT0363123,HSALNT0363124,HSALNT0363125,HSALNT0363126,HSALNT0363127,HSALNT0363128,HSALNT0363129,HSALNT0363130,HSALNT0363131,HSALNT0363132,HSALNT0363133,HSALNT0363134,HSALNT0363135,HSALNT0363136",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg15172739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG12,PNAS-123;LINC00100;ASLNC04080;C1orf79,1p35.3,HSALNG0002075,"HSALNT0003888,HSALNT0003889,HSALNT0003890,HSALNT0003891,HSALNT0003892,HSALNT0003893,HSALNT0003894,HSALNT0003895,HSALNT0003896,HSALNT0003897,HSALNT0003898,HSALNT0003899,HSALNT0003900,HSALNT0003901,HSALNT0003902,HSALNT0003903,HSALNT0003904,HSALNT0003905,HSALNT0003906,HSALNT0003907,HSALNT0003908,HSALNT0003910,HSALNT0003918,HSALNT0003919,HSALNT0003921,HSALNT0003924,HSALNT0003927,HSALNT0003929,HSALNT0003930,HSALNT0003931,HSALNT0003933,HSALNT0003934,HSALNT0003936,HSALNT0003938,HSALNT0003940,HSALNT0003941,HSALNT0003944,HSALNT0003945,HSALNT0291030,HSALNT0291031,HSALNT0291032,HSALNT0291033,HSALNT0291034,HSALNT0291035,HSALNT0291036,HSALNT0291037,HSALNT0291038,HSALNT0291039,HSALNT0291040,HSALNT0291041,HSALNT0291042,HSALNT0291043,HSALNT0291044,HSALNT0291045,HSALNT0291046,HSALNT0291047,HSALNT0291048,HSALNT0291049,HSALNT0291050,HSALNT0291051,HSALNT0291052,HSALNT0291053,HSALNT0291054,HSALNT0291055,HSALNT0291056",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg26328951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG14,NCRNA00214;UBE3A-AS;UBE3A-ATS;UBE3A-AS1,15q11.2,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg10669129;cg06861988;cg24640101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG15,FLJ38860;MYO1GUT;Linc-Myo1g;C7orf40,7p13,HSALNG0057702,"HSALNT0122099,HSALNT0122100,HSALNT0122101,HSALNT0122103,HSALNT0122108,HSALNT0122109,HSALNT0122110,HSALNT0122111,HSALNT0122112,HSALNT0122113,HSALNT0122114,HSALNT0122115,HSALNT0122116,HSALNT0122117,HSALNT0122118,HSALNT0122119,HSALNT0122120,HSALNT0122121,HSALNT0122122,HSALNT0122126,HSALNT0122130,HSALNT0122135,HSALNT0122136,HSALNT0122137,HSALNT0122138,HSALNT0122139,HSALNT0122140,HSALNT0122141,HSALNT0289249,HSALNT0340620,HSALNT0340621,HSALNT0340622,HSALNT0340623,HSALNT0340624,HSALNT0340625,HSALNT0340626,HSALNT0340627,HSALNT0340628,HSALNT0340629,HSALNT0340630,HSALNT0340631,HSALNT0340632,HSALNT0340633,HSALNT0340634,HSALNT0340635,HSALNT0340636,HSALNT0340637,HSALNT0340638,HSALNT0340639,HSALNT0340640,HSALNT0340641",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg16459265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG16,ncRAN;Nbla12061;Nbla10727,17q25.1,HSALNG0118851,"HSALNT0245422,HSALNT0245424,HSALNT0245426,HSALNT0245427,HSALNT0245429,HSALNT0245431,HSALNT0245433,HSALNT0245435,HSALNT0245441,HSALNT0245442,HSALNT0245443,HSALNT0245444,HSALNT0245446,HSALNT0245450,HSALNT0245455,HSALNT0245458,HSALNT0245459,HSALNT0245460,HSALNT0245461,HSALNT0245467,HSALNT0245468,HSALNT0245469,HSALNT0245470,HSALNT0245475,HSALNT0245482,HSALNT0391746,HSALNT0391747,HSALNT0391751,HSALNT0391752,HSALNT0391753,HSALNT0391754,HSALNT0391755,HSALNT0391756,HSALNT0391757,HSALNT0391758,HSALNT0391759,HSALNT0391760,HSALNT0391761,HSALNT0391762,HSALNT0391763,HSALNT0391764,HSALNT0391765",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg05727573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG26,AC005682.5,7p15.3,HSALNG0056623,"HSALNT0119778,HSALNT0119779,HSALNT0119780,HSALNT0119781,HSALNT0119783,HSALNT0119784,HSALNT0119785,HSALNT0119789,HSALNT0339623,HSALNT0339624,HSALNT0339625,HSALNT0339626,HSALNT0339627,HSALNT0339628,HSALNT0339629,HSALNT0339630,HSALNT0339631,HSALNT0339632,HSALNT0339633,HSALNT0339634,HSALNT0339635,HSALNT0339636,HSALNT0339637,HSALNT0339638,HSALNT0339639,HSALNT0339640",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06496272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG29,MGC40157;C17orf45;NCRNA00188;C17orf76-AS1;FAM211A-AS1;LRRC75A-AS1,17p11.2,HSALNG0114857,"HSALNT0237737,HSALNT0237775,HSALNT0237776,HSALNT0237777,HSALNT0237778,HSALNT0237779,HSALNT0237780,HSALNT0237781,HSALNT0237782,HSALNT0237783,HSALNT0237784,HSALNT0237785,HSALNT0237786,HSALNT0237787,HSALNT0237788,HSALNT0237789,HSALNT0237790,HSALNT0237791,HSALNT0237792,HSALNT0237793,HSALNT0237794,HSALNT0237795,HSALNT0237796,HSALNT0237797,HSALNT0237798,HSALNT0237799,HSALNT0237800,HSALNT0237801,HSALNT0237802,HSALNT0237803,HSALNT0237804,HSALNT0237805,HSALNT0237806,HSALNT0237807,HSALNT0237808,HSALNT0237811,HSALNT0237812,HSALNT0237818,HSALNT0237819,HSALNT0237820,HSALNT0237821,HSALNT0237822,HSALNT0237823,HSALNT0237824,HSALNT0237825,HSALNT0237826,HSALNT0237827,HSALNT0237829,HSALNT0237830,HSALNT0237831,HSALNT0237832,HSALNT0237833,HSALNT0237835,HSALNT0237836,HSALNT0237839,HSALNT0237845,HSALNT0237846,HSALNT0237847,HSALNT0237848,HSALNT0237852,HSALNT0237855,HSALNT0237856,HSALNT0237857,HSALNT0237862,HSALNT0289155,HSALNT0388709,HSALNT0388710,HSALNT0388711,HSALNT0388712,HSALNT0388713,HSALNT0388714,HSALNT0388715,HSALNT0388716,HSALNT0388717,HSALNT0388718,HSALNT0388719,HSALNT0388720,HSALNT0388721,HSALNT0388722,HSALNT0388723,HSALNT0388724,HSALNT0388725,HSALNT0388726,HSALNT0388727,HSALNT0388728,HSALNT0388729,HSALNT0388730,HSALNT0388731,HSALNT0388732,HSALNT0388733,HSALNT0388734,HSALNT0388735,HSALNT0388736,HSALNT0388737,HSALNT0388738,HSALNT0388739,HSALNT0388740,HSALNT0388741,HSALNT0388742,HSALNT0388743,HSALNT0388744,HSALNT0388745,HSALNT0388746,HSALNT0388747,HSALNT0388748,HSALNT0388749,HSALNT0388750,HSALNT0388751,HSALNT0388752,HSALNT0388753,HSALNT0388754,HSALNT0388755,HSALNT0388756,HSALNT0388757,HSALNT0388758,HSALNT0388759,HSALNT0388760,HSALNT0388761,HSALNT0388762,HSALNT0388763,HSALNT0388764,HSALNT0388765,HSALNT0388766,HSALNT0388767,HSALNT0388768,HSALNT0388769,HSALNT0388770,HSALNT0388771,HSALNT0388772,HSALNT0388773,HSALNT0388774,HSALNT0388775,HSALNT0388776,HSALNT0388777,HSALNT0388778,HSALNT0388779,HSALNT0388780,HSALNT0388781,HSALNT0388782,HSALNT0388783",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg27615938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SNHG30,RP11-1094M14.11;LINC02001,17q12,HSALNG0115960,"HSALNT0239790,HSALNT0239791,HSALNT0239792,HSALNT0239793,HSALNT0289129,HSALNT0389468,HSALNT0389469,HSALNT0389470,HSALNT0389471,HSALNT0389472,HSALNT0389473,HSALNT0389474",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg14834285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
SOX9-AS1,FLJ37644,17q24.3,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23641597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ST7-AS2,ST7AS2;ST7OT2,7q31.2,HSALNG0060777,"HSALNT0127802,HSALNT0127803,HSALNT0127804,HSALNT0127805,HSALNT0127806,HSALNT0127807,HSALNT0127808,HSALNT0127810,HSALNT0127811,HSALNT0342947,HSALNT0342948,HSALNT0342949,HSALNT0342950",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg22619824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ST7-OT4,NCRNA00042;ST7OT4,7q31.2,HSALNG0060775,"HSALNT0127794,HSALNT0127796,HSALNT0127798,HSALNT0127799,HSALNT0127800,HSALNT0342944,HSALNT0342945",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23033749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
TCL6,TCL6e1;TNG2;TNG1,14q32.13,HSALNG0103448,"HSALNT0215229,HSALNT0215231,HSALNT0215232,HSALNT0215234,HSALNT0215236,HSALNT0215239,HSALNT0215242,HSALNT0215244,HSALNT0215249,HSALNT0215250,HSALNT0215251,HSALNT0215255,HSALNT0215257,HSALNT0215259,HSALNT0289264,HSALNT0378885,HSALNT0378886,HSALNT0378887,HSALNT0378888,HSALNT0378889,HSALNT0378890,HSALNT0378891,HSALNT0378892,HSALNT0378893,HSALNT0378894,HSALNT0378895,HSALNT0378896,HSALNT0378897,HSALNT0378898,HSALNT0378899,HSALNT0378900,HSALNT0378901",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07734106;cg07036035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
TMEM105,FLJ38792,17q25.3,,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23514211;cg13304825;cg01905773;cg16463557;cg20719001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
TP73-AS1,PDAM;KIAA0495,1p36.32,ENSG00000227372.12,,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg23666378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
UMODL1-AS1,FLJ33471;C21orf128,21q22.3,HSALNG0133282,HSALNT0274011,,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg14562523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ZFAS1,HSUP1;HSUP2;C20orf199;NCRNA00275;ZNFX1-AS1,20q13.13,HSALNG0130661,"HSALNT0268340,HSALNT0268341,HSALNT0268343,HSALNT0268344,HSALNT0268345,HSALNT0268347,HSALNT0268354,HSALNT0268355,HSALNT0268356,HSALNT0268357,HSALNT0268360,HSALNT0401518,HSALNT0401519,HSALNT0401520,HSALNT0401521,HSALNT0401522,HSALNT0401523,HSALNT0401524,HSALNT0401525,HSALNT0401526,HSALNT0401527,HSALNT0401528,HSALNT0401529,HSALNT0401530,HSALNT0401531,HSALNT0401532,HSALNT0401533,HSALNT0401534,HSALNT0401535,HSALNT0401536,HSALNT0401537,HSALNT0401538,HSALNT0401539,HSALNT0401540,HSALNT0401541",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg06893362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ZNF252P-AS1,C8orf77,8q24.3,HSALNG0069500,"HSALNT0145680,HSALNT0145681,HSALNT0145682,HSALNT0289422,HSALNT0350753,HSALNT0350754,HSALNT0350755",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg26795312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
ZNF32-AS3,bA402L1.3;C10orf44,10q11.21,HSALNG0077573,"HSALNT0161885,HSALNT0161886,HSALNT0161887,HSALNT0357520,HSALNT0357521",,NA,,Disease,multiple sclerosis,NA,NA,NA,DNA methylation,cg07121693;cg08514530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30479356
